timestamp,open,high,low,close,volume,Ticker
2021-01-08,15.85,15.88,14.87,15.13,290652850,AAL
2020-12-31,14.42,18.63,13.85,15.77,1859379706,AAL
2020-11-30,11.32,15.56,10.87,14.13,1697734108,AAL
2020-10-30,12.45,13.68,10.63,11.28,1349577414,AAL
2020-09-30,12.86,14.16,11.22,12.29,1200124582,AAL
2020-08-31,11.07,15.1,10.71,13.05,1495948019,AAL
2020-07-31,13.48,14.29,10.8,11.12,1631093015,AAL
2020-06-30,10.79,22.8,10.62,13.07,3103907239,AAL
2020-05-29,11.41,12.55,8.25,10.5,1375701834,AAL
2020-04-30,11.45,13.4,9.09,12.01,1750737457,AAL
2020-03-31,19.05,19.79,10.01,12.19,1304570196,AAL
2020-02-28,26.93,30.78,18.77,19.05,263006294,AAL
2020-01-31,28.98,29.295,25.37,26.84,226455103,AAL
2019-12-31,28.79,29.8092,26.68,28.68,133978748,AAL
2019-11-29,30.3,31.58,27.84,28.74,115170576,AAL
2019-10-31,27.08,31.67,24.51,30.06,193987407,AAL
2019-09-30,26.16,30.34,25.95,26.97,142276606,AAL
2019-08-30,30.43,30.565,24.23,26.31,168786741,AAL
2019-07-31,33.14,34.99,30.21,30.51,129012703,AAL
2019-06-28,27.12,33.81,27.02,32.61,124910140,AAL
2019-05-31,34.3,34.9,27.105,27.23,133159340,AAL
2019-04-30,31.98,35.24,31.7,34.18,128701736,AAL
2019-03-29,35.58,35.96,29.97,31.76,152767429,AAL
2019-02-28,35.77,37.23,34.77,35.63,128453783,AAL
2019-01-31,31.46,37.08,28.81,35.77,212855044,AAL
2018-12-31,40.57,40.58,29.59,32.11,165850753,AAL
2018-11-30,35.3,40.2,34.8399,40.16,182751727,AAL
2018-10-31,41.41,41.75,30.24,35.08,273886553,AAL
2018-09-28,40.32,43.89,38.15,41.33,116499803,AAL
2018-08-31,39.38,41.04,36.415,40.48,127674295,AAL
2018-07-31,37.74,40.859,35.64,39.54,159742412,AAL
2018-06-29,44.05,45.0213,37.06,37.96,125838597,AAL
2018-05-31,42.86,45.82,41.47,43.54,130062354,AAL
2018-04-30,51.77,53.08,40.65,42.93,140652247,AAL
2018-03-29,54.14,57.44,50.05,51.96,82002232,AAL
2018-02-28,54.0,55.6,46.33,54.25,88760427,AAL
2018-01-31,52.33,59.08,51.9,54.32,120508581,AAL
2017-12-29,49.67,53.47,48.69,52.03,77681939,AAL
2017-11-30,48.0,51.16,45.27,50.49,71975206,AAL
2017-10-31,47.52,53.74,46.79,46.82,117414407,AAL
2017-09-29,44.85,48.6,42.6066,47.49,129933553,AAL
2017-08-31,51.13,52.0,42.67,44.74,121756452,AAL
2017-07-31,50.78,54.48,48.73,50.44,110201100,AAL
2017-06-30,48.5,51.95,48.01,50.32,127436075,AAL
2017-05-31,42.76,48.82,42.01,48.41,129778046,AAL
2017-04-28,42.33,47.39,40.82,42.62,135945359,AAL
2017-03-31,46.79,48.135,39.21,42.3,177947053,AAL
2017-02-28,44.75,48.05,43.57,46.36,110361270,AAL
2017-01-31,47.28,50.0,43.742,44.25,147289715,AAL
2016-12-30,46.2,50.64,45.58,46.69,122810423,AAL
2016-11-30,40.51,47.14,39.24,46.44,148409350,AAL
2016-10-31,36.46,40.93,36.33,40.6,176375805,AAL
2016-09-30,36.53,39.52,33.9,36.61,162150327,AAL
2016-08-31,35.54,37.355,33.0,36.3,181410357,AAL
2016-07-29,28.26,36.739,27.12,35.5,248243493,AAL
2016-06-30,31.94,33.58,24.85,28.31,274277522,AAL
2016-05-31,34.99,35.165,30.99,31.91,204488301,AAL
2016-04-29,40.13,41.76,34.1,34.69,206584339,AAL
2016-03-31,41.44,43.78,40.05,41.01,163916015,AAL
2016-02-29,39.0,41.6,34.76,41.0,184042964,AAL
2016-01-29,41.29,42.74,36.2,38.99,237116073,AAL
2015-12-31,41.47,46.49,40.7,42.35,170663254,AAL
2015-11-30,46.2,47.09,40.45,41.26,138384840,AAL
2015-10-30,38.5,46.77,37.42,46.22,232657041,AAL
2015-09-30,38.63,44.59,37.72,38.83,221570938,AAL
2015-08-31,40.24,44.45,34.1,38.98,216668452,AAL
2015-07-31,40.65,43.81,37.8,40.1,256056644,AAL
2015-06-30,42.61,44.38,38.45,39.935,301070219,AAL
2015-05-29,48.65,50.3,41.32,42.37,256703007,AAL
2015-04-30,51.1,53.47,46.88,48.285,235685115,AAL
2015-03-31,48.2,56.05,46.47,52.78,396784202,AAL
2015-02-27,48.58,52.2,45.95,47.9,208335720,AAL
2015-01-30,54.28,56.2,48.1,49.08,276759658,AAL
2014-12-31,49.0,54.64,46.05,53.63,315150645,AAL
2014-11-28,41.44,49.45,41.43,48.53,222785374,AAL
