timestamp,open,high,low,close,volume
2021-01-08,41.7300,44.7900,40.3022,43.1800,28538824
2020-12-31,40.2200,44.6900,38.3000,41.3600,121099344
2020-11-30,28.9200,42.8700,28.5423,38.8800,181357119
2020-10-30,28.7700,31.3900,26.5600,29.5000,140341603
2020-09-30,35.0100,35.8640,27.5700,29.3400,162400110
2020-08-31,38.4000,40.0400,34.4000,35.4600,172093773
2020-07-31,37.6000,39.9500,32.5700,38.2000,152043626
2020-06-30,35.2500,44.1200,34.3500,37.3800,206092720
2020-05-29,30.3000,37.9400,28.5200,35.1400,203163581
2020-04-30,21.9300,33.9100,18.2700,32.0800,252250182
2020-03-31,47.8900,48.2500,15.2600,23.6200,319105765
2020-02-28,54.5400,60.3500,45.0200,47.4200,147067909
2020-01-31,60.8800,61.9200,52.2500,54.5000,133084189
2019-12-31,60.8800,62.1400,56.7100,60.2500,101732645
2019-11-29,64.8500,68.7300,59.8200,60.6400,104452556
2019-10-31,61.2600,69.6500,58.2400,63.9500,142952840
2019-09-30,48.3200,62.8200,47.6200,60.7500,150709981
2019-08-30,57.9200,58.6000,43.9600,49.2100,140470002
2019-07-31,56.9000,57.8100,53.7000,56.3900,102772550
2019-06-28,46.1100,55.9500,46.0200,55.8800,160248571
2019-05-31,61.1000,61.7300,45.4700,45.9900,184385640
2019-04-30,60.4600,64.5300,59.3700,60.8700,140693504
2019-03-29,62.1200,63.3500,56.8800,59.8500,135952094
2019-02-28,66.6800,68.7400,61.2200,62.0100,110881340
2019-01-31,58.1700,67.1100,57.7900,66.2600,135383900
2018-12-31,66.0000,66.8800,54.2900,59.0100,156761382
2018-11-30,69.8000,73.0000,60.6400,65.1600,129863604
2018-10-31,81.6100,86.5600,66.2900,70.4500,181611612
2018-09-28,82.7500,88.4500,79.5700,79.9700,140702843
2018-08-31,80.2500,84.7900,76.2200,82.2900,92013812
2018-07-31,69.6900,82.6100,68.1801,80.8300,104832427
2018-06-29,79.7800,83.3300,69.0300,70.1600,120357342
2018-05-31,74.2800,82.6900,70.4600,79.0300,151330953
2018-04-30,72.9500,83.2700,70.3100,74.9100,101296776
2018-03-29,64.2700,74.9200,64.1000,73.1100,80886087
2018-02-28,69.7700,70.4900,61.4600,64.0600,83388537
2018-01-31,66.1100,73.5300,65.9800,69.2700,75143933
2017-12-29,62.8200,67.0700,61.5900,65.9800,76797205
2017-11-30,60.2400,63.4100,60.0700,62.6300,80178360
2017-10-31,55.9400,60.1624,55.2500,59.7400,77137314
2017-09-29,52.5500,56.5450,50.5200,56.0800,94069324
2017-08-31,56.1100,56.8100,49.3000,52.4500,84736060
2017-07-31,52.6300,56.6400,52.2300,55.9900,64416464
2017-06-30,52.4300,55.2000,50.7400,52.3300,107720929
2017-05-31,51.1500,53.9100,49.3700,52.0400,93022423
2017-04-28,50.6800,51.6200,47.7800,50.9400,75785805
2017-03-31,50.0000,52.2400,48.1800,50.5400,112122038
2017-02-28,49.6800,51.1700,47.1000,49.6000,81074935
2017-01-31,53.7000,54.5900,46.8800,48.0500,129488655
2016-12-30,47.4900,51.1500,47.1500,50.3500,110456946
