timestamp,open,high,low,close,volume
2021-01-08,222.3900,246.3900,216.5000,244.5400,17538648
2020-12-31,222.0000,256.0000,209.1100,222.3000,94419385
2020-11-30,204.2100,246.0000,185.3589,227.8800,71934355
2020-10-30,218.8000,246.8000,200.2300,202.2500,78888565
2020-09-30,240.6800,290.2300,187.2100,215.2400,208608326
2020-08-31,218.7200,229.8300,189.1200,223.0000,69319052
2020-07-31,171.2500,217.7000,170.8000,216.8300,115510831
2020-06-30,142.3500,180.4508,131.2600,172.2100,136452816
2020-05-29,103.1900,141.4300,101.8800,139.7400,73057535
2020-04-30,90.8200,111.3600,78.7200,104.7500,70330667
2020-03-31,87.3900,98.3800,64.8800,92.4000,88713457
2020-02-28,79.1000,92.5500,76.1801,86.3100,34280342
2020-01-31,74.3100,80.2600,70.5500,78.5100,41343070
2019-12-31,72.4400,76.2800,66.9700,74.1100,44227916
2019-11-29,66.7800,73.2200,64.2500,71.2100,35959981
2019-10-31,62.0300,68.1700,59.7700,66.1900,56854056
2019-09-30,46.5700,65.0700,45.5200,61.9200,110275219
2019-08-30,51.7300,53.0000,43.1300,46.6900,41432304
2019-07-31,50.5300,54.7800,49.5200,51.7200,36948345
2019-06-28,56.0000,56.1000,45.6750,49.7100,81567201
2019-05-31,57.1000,57.4200,50.0200,56.0600,38162048
2019-04-30,52.4500,58.3700,50.9200,56.6700,37955079
2019-03-29,55.9100,59.6204,51.1400,51.8400,56622058
2019-02-28,49.3300,56.2300,48.2100,55.1500,38735422
2019-01-31,39.2700,50.0300,38.8000,49.4500,50025551
2018-12-31,42.7200,43.3500,36.2488,40.0800,66858358
2018-11-30,42.1400,45.1500,35.0600,41.7600,35621189
2018-10-31,52.9800,53.0000,38.2800,41.9400,57800202
2018-09-28,62.8000,65.8700,51.1200,52.5700,46715707
2018-08-31,54.3000,68.3500,54.1947,62.4400,25484304
2018-07-31,52.4600,57.5000,50.0600,53.9000,27972288
2018-06-29,50.2800,66.8000,49.7600,52.9500,53729910
2018-05-31,38.7000,51.2009,37.8500,49.8100,20700252
