timestamp,open,high,low,close,volume
2021-01-08,417.8200,449.2800,400.4900,436.7700,6105984
2020-12-31,405.0100,417.5450,381.2400,410.2700,18215328
2020-11-30,404.0000,474.7000,395.1000,400.5200,18694632
2020-10-30,415.9200,449.4300,392.4900,399.2800,12191027
2020-09-30,413.1400,431.1200,382.7224,413.8900,15014452
2020-08-31,395.2300,425.4600,387.9000,415.1700,12446017
2020-07-31,388.4900,407.0990,377.2000,392.4500,14631020
2020-06-30,407.9200,410.3700,365.0600,387.7500,20497849
2020-05-29,373.5500,412.7000,364.7700,410.6500,17466867
2020-04-30,300.0000,392.5800,285.4900,381.8200,29051541
2020-03-31,321.5000,379.3700,208.2500,314.0200,53620208
2020-02-28,339.1500,385.0000,304.1400,319.6800,21877445
2020-01-31,367.1600,376.4000,332.9100,336.2400,22519199
2019-12-31,342.3900,372.9200,333.2800,366.5200,17437038
2019-11-29,295.5200,345.7100,292.9400,341.2300,21770183
2019-10-31,255.9500,296.9600,248.6400,294.2000,21636585
2019-09-30,282.4800,283.9900,252.0900,255.6700,20559701
2019-08-30,298.5000,305.4700,270.7200,283.2100,22957213
2019-07-31,266.8200,302.4400,254.5400,296.7500,23905858
2019-06-28,254.9000,271.8800,242.7600,265.3000,27382870
2019-05-31,250.0900,264.9300,233.0000,244.8600,35497885
2019-04-30,268.2900,278.6500,225.6500,255.4100,37676999
2019-03-29,286.7700,292.1700,259.1300,266.0000,24713005
2019-02-28,306.2000,312.0000,281.7800,285.0400,21622686
2019-01-31,283.3100,309.4100,269.1800,308.9900,22029581
2018-12-31,330.2600,336.1300,271.0100,286.4800,24636806
2018-11-30,321.7200,355.8800,299.6300,329.4700,22048701
2018-10-31,340.1300,340.9200,313.8900,320.4100,12716306
2018-09-28,333.4700,341.3000,327.3400,338.5200,9577382
2018-08-31,314.6300,335.6200,314.4900,333.2600,10139438
2018-07-31,296.8900,321.2700,293.5800,314.1800,12212753
2018-06-29,292.2500,309.1900,287.6200,297.6300,11544757
2018-05-31,294.1700,297.7400,268.8800,290.9800,16114650
2018-04-30,282.0600,299.8500,277.0000,294.1800,16952652
2018-03-29,271.6300,275.9200,261.3500,268.8300,20653171
2018-02-28,281.7900,283.1400,260.0000,271.8200,20060138
2018-01-31,249.3600,293.3500,248.0100,281.8300,24571260
2017-12-29,260.8100,262.5000,242.0000,248.0700,22969397
2017-11-30,256.2500,261.3400,231.9000,260.8600,28987124
2017-10-31,244.4100,264.5600,235.7000,255.3500,21556198
2017-09-29,257.9800,259.7600,235.1500,243.6300,22006533
2017-08-31,231.6400,257.7400,229.8400,257.6200,25071903
2017-07-31,241.8700,243.7400,230.8700,231.2000,20967989
2017-06-30,232.1600,241.9600,223.4000,240.6200,33985175
2017-05-31,222.1900,234.8750,220.8000,232.2600,34832490
2017-04-28,206.6800,222.4800,206.6800,221.9800,23327359
2017-03-31,212.0000,220.4900,203.4800,206.1400,33570769
2017-02-28,198.5800,212.2400,189.0100,211.2500,31384282
2017-01-31,202.8700,208.6900,186.2500,198.5000,40638381
2016-12-30,211.9300,217.8000,197.6100,204.0300,30250075
2016-11-30,172.0000,212.9400,165.0300,212.6400,36405231
2016-10-31,176.8900,180.0000,163.5000,171.5300,25431009
2016-09-30,179.2300,179.2300,173.5310,176.8900,14749626
2016-08-31,173.0000,183.4900,167.5200,178.7100,21027615
2016-07-29,180.4700,181.4900,150.0000,172.5500,73543873
2016-06-30,172.2700,191.6500,171.5300,179.8800,30360670
2016-05-31,178.0000,178.7900,160.6500,172.5100,22354232
2016-04-29,182.7700,187.8000,166.7000,177.0700,19503561
2016-03-31,178.3500,187.5000,176.6100,182.9500,15638365
2016-02-29,162.7100,181.6500,155.2400,176.9700,21664159
2016-01-29,177.6700,181.4600,157.4500,162.7900,22433650
2015-12-31,168.9200,180.3100,168.2400,178.5100,18240972
2015-11-30,179.9500,181.8700,163.4000,168.6600,19794022
2015-10-30,178.7700,187.4500,162.2100,178.6300,28710555
2015-09-30,179.8200,190.2000,172.7100,179.0000,18349298
2015-08-31,182.5000,192.4900,169.4000,182.7900,21976008
2015-07-31,191.8700,195.0000,180.2900,182.0900,57093987
2015-06-30,213.1500,219.4800,184.2300,191.2800,84934702
2015-05-29,167.0000,219.7900,162.3500,214.6500,34182779
2015-04-30,177.8300,182.9600,164.9410,165.6000,24409197
2015-03-31,164.1000,183.0500,158.1600,178.0200,34021419
2015-02-27,146.8800,166.2000,143.4400,164.3800,22877664
2015-01-30,144.9500,155.3000,137.4500,146.4400,21433812
2014-12-31,137.6500,151.5200,137.1780,143.6300,24832096
2014-11-28,139.0000,140.9200,129.3100,137.9700,28132176
2014-10-31,130.2800,139.8715,121.0400,138.8500,25647719
2014-09-30,129.1500,135.8600,126.5100,130.2900,23754084
2014-08-29,117.3000,129.5900,115.5100,128.7400,18679185
2014-07-31,128.2200,134.9300,116.3800,117.6500,26629500
2014-06-30,124.9600,129.3600,122.3600,127.7200,18632300
2014-05-30,110.5200,126.4400,107.9900,124.4600,31139100
2014-04-30,112.7700,115.0100,103.8900,109.7500,32148900
2014-03-31,114.2000,119.9300,109.2100,112.7200,30161900
2014-02-28,97.1900,114.7600,91.0000,112.4600,46639100
2014-01-31,102.7600,103.8800,94.2000,97.3000,36525500
2013-12-31,104.0100,105.8000,98.6200,103.2200,21018300
2013-11-29,92.3100,104.6900,91.3400,103.9900,27655300
2013-10-31,93.6600,96.8500,90.1900,92.1500,27347600
2013-09-30,92.8100,99.8500,91.4800,93.3300,22269700
2013-08-30,90.3900,94.6700,89.0000,92.0800,20814800
2013-07-31,84.8500,92.7400,82.1400,91.2600,24888500
2013-06-28,81.1700,85.9000,78.5500,84.3800,24218500
2013-05-31,76.1800,83.4000,73.6300,80.7800,43477900
2013-04-30,69.3400,82.4700,69.0650,74.1100,65807200
2013-03-28,68.0500,71.3700,65.8800,69.1100,47852800
2013-02-28,74.7700,81.8700,67.8200,68.2600,64488600
2013-01-31,69.7400,75.2600,65.9900,74.3600,37890600
2012-12-31,65.7500,68.7600,64.4550,68.6300,28977600
2012-11-30,74.3900,77.0200,63.9300,65.4100,59376700
2012-10-31,70.5500,76.9900,70.2800,74.2700,32505500
2012-09-28,70.9200,72.4400,67.9700,70.1500,27916300
2012-08-31,61.2900,70.9500,60.9500,70.0800,59908900
2012-07-31,77.6900,78.2000,59.9200,61.6000,49581700
2012-06-29,75.2800,81.4200,75.0200,77.4400,37774300
2012-05-31,81.2600,85.1750,73.7100,76.3900,42140800
2012-04-30,92.4900,92.5500,79.6000,80.6800,32804400
2012-03-30,87.1100,93.3600,84.6801,92.4800,33213800
2012-02-29,89.6400,93.0000,84.0400,87.1000,48528300
2012-01-31,89.2100,96.4600,84.5500,89.0200,36422100
2011-12-30,87.9900,90.9500,84.3800,87.6100,25190700
2011-11-30,82.8100,89.2200,80.8900,88.6800,32221800
2011-10-31,72.7200,87.3200,65.2000,84.8900,45064400
2011-09-30,77.6900,80.6400,71.2060,72.7300,36432400
2011-08-31,78.6900,78.8100,65.5000,77.6400,66863500
2011-07-29,80.9000,84.3200,71.2700,74.5800,31876100
2011-06-30,80.4700,83.4000,76.6100,80.5400,29181500
2011-05-31,76.5500,80.7900,72.5000,80.5300,35268700
2011-04-29,69.7800,77.8000,69.1800,76.1200,31745600
2011-03-31,65.0500,70.0000,62.0200,69.9400,35729500
2011-02-28,58.3200,67.0000,57.7000,65.0100,44801100
2011-01-31,55.0600,60.4100,54.5700,57.9700,33525300
2010-12-31,56.9000,57.8100,54.2400,54.7400,26819500
2010-11-30,59.2500,61.3300,54.5700,56.0400,45322700
2010-10-29,50.5900,58.4000,49.0000,58.2900,42769100
2010-09-30,48.3400,53.5480,48.1300,50.2400,39371100
2010-08-31,48.4100,51.2400,47.2100,47.7900,37087700
2010-07-30,45.5100,47.8700,43.5900,47.0200,34186300
2010-06-30,45.6500,50.1600,45.3600,45.6700,41002600
2010-05-28,45.8100,47.2100,43.1700,46.0500,47227000
2010-04-30,47.1100,48.4400,43.0500,45.7200,64309500
2010-03-31,47.6400,50.8400,46.1800,46.7700,46526000
2010-02-26,48.0000,50.3700,45.0700,47.3300,54478400
2010-01-29,44.4300,52.6600,44.4300,48.6200,75613400
2009-12-31,41.7200,46.2000,40.1000,43.8900,51797400
2009-11-30,35.8100,42.2600,35.7800,41.5100,40471900
2009-10-30,37.3900,39.2500,35.6600,37.5800,61688100
2009-09-30,35.6500,41.0000,35.0800,37.3000,54748300
2009-08-31,34.6800,37.5900,31.9200,35.7000,46869400
2009-07-31,32.3000,34.4300,27.5400,32.8500,68179600
2009-06-30,31.5400,32.9100,27.7500,32.2600,61097000
2009-05-29,28.8300,33.1000,28.1500,31.3300,51704200
2009-04-30,25.9200,30.3300,24.6400,28.7800,97850700
2009-03-31,22.6400,27.5800,18.5700,26.0800,115819600
2009-02-27,36.7200,46.0100,22.6500,23.6700,93249600
2009-01-30,37.3800,42.2800,30.4900,37.9300,56210500
2008-12-31,29.7400,38.0000,26.8900,37.2800,50640700
2008-11-28,30.1200,37.2700,22.3300,30.2300,73860700
2008-10-31,40.6600,41.8000,25.0100,29.5900,74735800
2008-09-30,46.7900,48.5700,39.1500,41.2000,49948000
2008-08-29,44.0800,51.3900,42.7100,46.4000,53675600
2008-07-31,39.7400,44.4600,36.0500,43.9100,58262300
2008-06-30,50.5300,50.6900,39.6500,39.7700,63431400
2008-05-30,48.2400,51.8500,42.7400,51.0500,65912200
2008-04-30,45.1900,48.5000,41.5700,47.7900,67500400
2008-03-31,68.0500,69.0800,33.4500,44.8600,176416400
2008-02-29,79.9600,81.9300,65.8901,68.3300,47319600
2008-01-31,76.5100,88.1000,75.5700,79.5200,46399700
2007-12-31,75.8200,79.7200,73.1100,75.3100,27075500
2007-11-30,74.9100,77.1900,70.0900,77.0300,28105500
2007-10-31,70.1200,81.5000,69.4400,74.9500,41229600
2007-09-28,64.0700,72.1400,62.5400,69.8800,31970000
