timestamp,open,high,low,close,volume
2021-01-08,344.9600,360.9950,330.4700,359.8600,3751089
2020-12-31,282.0100,398.9999,260.7750,359.0400,26874324
2020-11-30,227.0000,289.7900,219.5100,287.3100,13158478
2020-10-30,232.2300,273.0100,223.9600,228.4700,14059631
2020-09-30,235.1200,258.0500,200.5000,231.5100,23640845
2020-08-31,225.5700,235.2500,186.2700,233.8000,15605924
2020-07-31,223.0200,238.3300,198.0300,229.0800,17387452
2020-06-30,229.0200,243.9200,188.3700,226.3400,28373776
2020-05-29,154.9000,232.8600,153.6100,232.1100,20227100
2020-04-30,127.0900,165.6400,117.7100,162.1300,19246745
2020-03-31,152.5000,162.9300,93.8100,136.5400,35701280
2020-02-28,163.4200,182.5700,141.5100,152.5000,22695064
2020-01-31,130.1800,169.0000,126.0800,163.9100,27503392
2019-12-31,147.1800,147.1800,123.3700,131.6100,30267946
2019-11-29,127.0100,152.3300,121.5850,148.7000,15371601
2019-10-31,119.8300,140.3240,110.6100,127.7700,30020106
2019-09-30,150.7000,160.4100,112.3100,120.4800,43679320
2019-08-30,142.9300,158.2555,134.3207,152.3100,22690865
2019-07-31,155.3200,166.4100,140.0000,143.2200,34788366
2019-06-28,140.3000,184.7800,129.6000,152.0900,40116615
2019-05-31,141.2800,148.0000,127.1403,140.3400,26497517
2019-04-30,148.7500,149.3800,123.4059,140.9200,29491727
2019-03-29,100.9400,154.8000,95.3000,147.0200,42763486
2019-02-28,91.0200,109.9700,88.3500,101.5600,16603063
2019-01-31,81.4000,92.6200,70.6600,92.3600,29545971
2018-12-31,86.0000,93.2300,70.1000,83.7400,29410076
2018-11-30,81.5000,85.7800,65.6200,82.9000,25616236
2018-10-31,81.5100,84.5000,62.2977,81.5000,25702067
2018-09-28,73.1200,85.2500,69.7700,81.5500,21299081
2018-08-31,54.0000,73.7100,53.3210,71.9600,14800458
2018-07-31,49.4000,62.0100,48.3300,54.1100,18857818
2018-06-29,47.1400,59.5400,46.1000,49.6300,25964401
2018-05-31,35.7100,47.3900,35.2251,47.1300,16838389
2018-04-30,43.0100,45.9400,32.3500,35.9900,18377631
2018-03-29,33.1000,46.2600,32.8900,43.4000,16782906
2018-02-28,26.7400,32.7500,25.1600,32.2100,3300447
2018-01-31,29.9300,30.0800,26.7800,27.1100,3626273
2017-12-29,28.5300,30.4900,24.6200,29.6800,7829119
2017-11-30,30.3700,31.1100,28.4100,28.5300,5008364
