timestamp,open,high,low,close,volume,Ticker,Sector,PERatio,EPS,DividendYield
2021-01-08,15.85,15.88,14.87,15.13,290652850,AAL,Industrials,2.8074,3.533,0.0303
2020-12-31,14.42,18.63,13.85,15.77,1859379706,AAL,Industrials,2.8074,3.533,0.0303
2020-11-30,11.32,15.56,10.87,14.13,1697734108,AAL,Industrials,2.8074,3.533,0.0303
2020-10-30,12.45,13.68,10.63,11.28,1349577414,AAL,Industrials,2.8074,3.533,0.0303
2020-09-30,12.86,14.16,11.22,12.29,1200124582,AAL,Industrials,2.8074,3.533,0.0303
2020-08-31,11.07,15.1,10.71,13.05,1495948019,AAL,Industrials,2.8074,3.533,0.0303
2020-07-31,13.48,14.29,10.8,11.12,1631093015,AAL,Industrials,2.8074,3.533,0.0303
2020-06-30,10.79,22.8,10.62,13.07,3103907239,AAL,Industrials,2.8074,3.533,0.0303
2020-05-29,11.41,12.55,8.25,10.5,1375701834,AAL,Industrials,2.8074,3.533,0.0303
2020-04-30,11.45,13.4,9.09,12.01,1750737457,AAL,Industrials,2.8074,3.533,0.0303
2020-03-31,19.05,19.79,10.01,12.19,1304570196,AAL,Industrials,2.8074,3.533,0.0303
2020-02-28,26.93,30.78,18.77,19.05,263006294,AAL,Industrials,2.8074,3.533,0.0303
2020-01-31,28.98,29.295,25.37,26.84,226455103,AAL,Industrials,2.8074,3.533,0.0303
2019-12-31,28.79,29.8092,26.68,28.68,133978748,AAL,Industrials,2.8074,3.533,0.0303
2019-11-29,30.3,31.58,27.84,28.74,115170576,AAL,Industrials,2.8074,3.533,0.0303
2019-10-31,27.08,31.67,24.51,30.06,193987407,AAL,Industrials,2.8074,3.533,0.0303
2019-09-30,26.16,30.34,25.95,26.97,142276606,AAL,Industrials,2.8074,3.533,0.0303
2019-08-30,30.43,30.565,24.23,26.31,168786741,AAL,Industrials,2.8074,3.533,0.0303
2019-07-31,33.14,34.99,30.21,30.51,129012703,AAL,Industrials,2.8074,3.533,0.0303
2019-06-28,27.12,33.81,27.02,32.61,124910140,AAL,Industrials,2.8074,3.533,0.0303
2019-05-31,34.3,34.9,27.105,27.23,133159340,AAL,Industrials,2.8074,3.533,0.0303
2019-04-30,31.98,35.24,31.7,34.18,128701736,AAL,Industrials,2.8074,3.533,0.0303
2019-03-29,35.58,35.96,29.97,31.76,152767429,AAL,Industrials,2.8074,3.533,0.0303
2019-02-28,35.77,37.23,34.77,35.63,128453783,AAL,Industrials,2.8074,3.533,0.0303
2019-01-31,31.46,37.08,28.81,35.77,212855044,AAL,Industrials,2.8074,3.533,0.0303
2018-12-31,40.57,40.58,29.59,32.11,165850753,AAL,Industrials,2.8074,3.533,0.0303
2018-11-30,35.3,40.2,34.8399,40.16,182751727,AAL,Industrials,2.8074,3.533,0.0303
2018-10-31,41.41,41.75,30.24,35.08,273886553,AAL,Industrials,2.8074,3.533,0.0303
2018-09-28,40.32,43.89,38.15,41.33,116499803,AAL,Industrials,2.8074,3.533,0.0303
2018-08-31,39.38,41.04,36.415,40.48,127674295,AAL,Industrials,2.8074,3.533,0.0303
2018-07-31,37.74,40.859,35.64,39.54,159742412,AAL,Industrials,2.8074,3.533,0.0303
2018-06-29,44.05,45.0213,37.06,37.96,125838597,AAL,Industrials,2.8074,3.533,0.0303
2018-05-31,42.86,45.82,41.47,43.54,130062354,AAL,Industrials,2.8074,3.533,0.0303
2018-04-30,51.77,53.08,40.65,42.93,140652247,AAL,Industrials,2.8074,3.533,0.0303
2018-03-29,54.14,57.44,50.05,51.96,82002232,AAL,Industrials,2.8074,3.533,0.0303
2018-02-28,54.0,55.6,46.33,54.25,88760427,AAL,Industrials,2.8074,3.533,0.0303
